Lineage ID	Frequency  Day 0	Frequency  Day 3	Frequency  Day 6	Frequency  Day 9	Afatinib  response  group
bc14-007:bc30-007531	0.0648929266709929	#N/A	0.106157112526539	#N/A	Sensitive
bc14-008:bc30-004652	0.194678780012979	#N/A	#N/A	#N/A	Sensitive
bc14-008:bc30-027839	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-008:bc30-059667	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-008:bc30-062269	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-010:bc30-004435	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-010:bc30-007792	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-010:bc30-043637	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-010:bc30-099753	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-011:bc30-059389	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-011:bc30-061613	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-011:bc30-062136	0.129785853341986	0.208768267223382	0.106157112526539	#N/A	Tolerant
bc14-011:bc30-062576	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-011:bc30-069933	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-011:bc30-080773	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-011:bc30-092844	0.129785853341986	#N/A	#N/A	#N/A	Tolerant
bc14-011:bc30-096594	#N/A	0.208768267223382	0.106157112526539	#N/A	Sensitive
bc14-011:bc30-099377	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-012:bc30-026933	0.324464633354964	#N/A	0.212314225053079	#N/A	Sensitive
bc14-012:bc30-027008	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-012:bc30-035872	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-012:bc30-068431	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
