cluster	gene
Ductal cell CEACAM5	PLCXD1
Ductal cell CEACAM5	LINC00520
Ductal cell CEACAM5	APP
Ductal cell CEACAM5	FUT3
Ductal cell CEACAM5	IL1RN
Ductal cell CEACAM5	H1F0
Ductal cell CEACAM5	ARHGAP27
Ductal cell CEACAM5	NPEPPS
Ductal cell CEACAM5	EMP1
Ductal cell CEACAM5	FBXO32
Ductal cell CEACAM5	CPEB4
Ductal cell CEACAM5	RAB22A
Ductal cell CEACAM5	CAPN2
Ductal cell CEACAM5	FAM84A
Ductal cell CEACAM5	DYNLRB1
Ductal cell CEACAM5	GSN
Ductal cell CEACAM5	SOX4
Ductal cell CEACAM5	GAN
Ductal cell CEACAM5	RNF39
Ductal cell CEACAM5	C15orf48
Ductal cell CEACAM5	ST3GAL1
Ductal cell CEACAM5	DIAPH1
Ductal cell CEACAM5	ABHD11
Ductal cell CEACAM5	PPP1R13L
Ductal cell CEACAM5	CLDN7
Ductal cell CEACAM5	PDLIM5
Ductal cell CEACAM5	SPAG16
Ductal cell CEACAM5	CTNND1
Ductal cell CEACAM5	ZNF185
Ductal cell CEACAM5	LMTK3
Ductal cell CEACAM5	BCL9L
Ductal cell CEACAM5	ACTB
Ductal cell CEACAM5	TPM4
Ductal cell CEACAM5	IDS
Ductal cell CEACAM5	KRT19
Ductal cell CEACAM5	ITGA3
Ductal cell CEACAM5	SLK
Ductal cell CEACAM5	PLAUR
Ductal cell CEACAM5	LRRC1
Ductal cell CEACAM5	PRELID3B
Ductal cell CEACAM5	TMEM184B
Ductal cell CEACAM5	PMEPA1
Ductal cell CEACAM5	SNAP23
Ductal cell CEACAM5	CAV2
Ductal cell CEACAM5	SMIM5
Ductal cell CEACAM5	MYO6
Ductal cell CEACAM5	HOOK3
Ductal cell CEACAM5	CXCL17
Ductal cell CEACAM5	B4GALT4
Ductal cell CEACAM5	WDR1
Ductal cell CEACAM5	FSTL3
Ductal cell CEACAM5	RTN4
Ductal cell CEACAM5	DUSP4
Ductal cell CEACAM5	TMEM176B
Ductal cell CEACAM5	HOPX
Ductal cell CEACAM5	MAFF
Ductal cell CEACAM5	TACC1
Ductal cell CEACAM5	WASL
Ductal cell CEACAM5	DAPP1
Ductal cell CEACAM5	OXSR1
Ductal cell CEACAM5	TP53INP2
Ductal cell CEACAM5	DSC2
Ductal cell CEACAM5	LIF
Ductal cell CEACAM5	NCKAP1
Ductal cell CEACAM5	BCAS1
Ductal cell CEACAM5	NPTN
Ductal cell CEACAM5	ADAM9
Ductal cell CEACAM5	B3GNT3
Ductal cell CEACAM5	CLDN12
Ductal cell CEACAM5	ATP6V1G1
Ductal cell CEACAM5	UCA1
Ductal cell CEACAM5	TAX1BP1
Ductal cell CEACAM5	PTK6
Ductal cell CEACAM5	NECTIN2
Ductal cell CEACAM5	SPINK1
Ductal cell CEACAM5	SLC38A5
Ductal cell CEACAM5	CLDN23
Ductal cell CEACAM5	CDS1
Ductal cell CEACAM5	ARL8B
Ductal cell CEACAM5	SMIM14
Ductal cell CEACAM5	PTBP3
Ductal cell CEACAM5	SLC9A3R2
Ductal cell CEACAM5	SDC4
Ductal cell CEACAM5	NUP50
Ductal cell CEACAM5	CREBRF
Ductal cell CEACAM5	PSCA
Ductal cell CEACAM5	PLA2G16
Ductal cell CEACAM5	MAFK
Ductal cell CEACAM5	KRAS
Ductal cell CEACAM5	CXADR
Ductal cell CEACAM5	SULT2B1
Ductal cell CEACAM5	RNASE1
Ductal cell CEACAM5	TMEM176A
Ductal cell CEACAM5	RAB7A
Ductal cell CEACAM5	CCND1
Ductal cell CEACAM5	SESTD1
Ductal cell CEACAM5	MGAT3
Ductal cell CEACAM5	PINK1
Ductal cell CEACAM5	MFSD6
Ductal cell CEACAM5	PFKP
Ductal cell CEACAM5	MBOAT2
Ductal cell CEACAM5	SLC2A1
Ductal cell CEACAM5	GIPC1
Ductal cell CEACAM5	GNAS
Ductal cell CEACAM5	PDCD6IP
Ductal cell CEACAM5	ASAP2
Ductal cell CEACAM5	ERBIN
Ductal cell CEACAM5	FXYD5
Ductal cell CEACAM5	ERO1A
Ductal cell CEACAM5	SVIP
Ductal cell CEACAM5	SLCO4A1
Ductal cell CEACAM5	TMC5
Ductal cell CEACAM5	KLF3
Ductal cell CEACAM5	DUSP10
Ductal cell CEACAM5	TSPAN1
Ductal cell CEACAM5	EPB41L4B
Ductal cell CEACAM5	LASP1
Ductal cell CEACAM5	FN1
Ductal cell CEACAM5	BICDL2
Ductal cell CEACAM5	CAP1
Ductal cell CEACAM5	CHMP5
Ductal cell CEACAM5	TGFA
Ductal cell CEACAM5	ATP2B4
Ductal cell CEACAM5	NDRG1
Ductal cell CEACAM5	C6orf132
Ductal cell CEACAM5	FAM91A1
Ductal cell CEACAM5	QSOX1
Ductal cell CEACAM5	PTPN12
Ductal cell CEACAM5	GOLM1
Ductal cell CEACAM5	SCARB2
Ductal cell CEACAM5	CAPN1
Ductal cell CEACAM5	VAT1
Ductal cell CEACAM5	FOXA3
Ductal cell CEACAM5	KLK6
Ductal cell CEACAM5	CTSV
Ductal cell CEACAM5	SEMA3C
Ductal cell CEACAM5	AREG
Ductal cell CEACAM5	MAP1LC3B
Ductal cell CEACAM5	PTGS2
Ductal cell CEACAM5	PSORS1C2
Ductal cell CEACAM5	ANXA11
Ductal cell CEACAM5	CHPF
Ductal cell CEACAM5	BROX
Ductal cell CEACAM5	LMTK2
Ductal cell CEACAM5	SGMS2
Ductal cell CEACAM5	HRASLS2
Ductal cell CEACAM5	TMEM159
Ductal cell CEACAM5	PIM1
Ductal cell CEACAM5	RMND5A
Ductal cell CEACAM5	SERINC3
Ductal cell CEACAM5	S100A11
Ductal cell CEACAM5	SPATS2L
Ductal cell CEACAM5	SECISBP2L
Ductal cell CEACAM5	FEM1C
Ductal cell CEACAM5	TSPAN3
Ductal cell CEACAM5	GLUL
Ductal cell CEACAM5	RB1CC1
Ductal cell CEACAM5	MYL12A
Ductal cell CEACAM5	RAD23B
Ductal cell CEACAM5	TPD52L2
Ductal cell CEACAM5	MYRF
Ductal cell CEACAM5	ADAM10
Ductal cell CEACAM5	AHNAK
Ductal cell CEACAM5	PEA15
Ductal cell CEACAM5	CDC34
Ductal cell CEACAM5	YWHAZ
Ductal cell CEACAM5	SDC1
Ductal cell CEACAM5	TJP1
Ductal cell CEACAM5	PPDPF
Ductal cell CEACAM5	SPTBN1
Ductal cell CEACAM5	GRAMD2B
Ductal cell CEACAM5	AFDN
Ductal cell CEACAM5	SERINC5
Ductal cell CEACAM5	RBM47
Ductal cell CEACAM5	AL355312.4
Ductal cell CEACAM5	ZBTB43
Ductal cell CEACAM5	CLDN4
Ductal cell CEACAM5	FOXO3
Ductal cell CEACAM5	ITPR3
Ductal cell CEACAM5	REEP3
Ductal cell CEACAM5	ERGIC1
Ductal cell CEACAM5	LRP10
Ductal cell CEACAM5	FGFBP1
Ductal cell CEACAM5	CHMP1B
Ductal cell CEACAM5	NR1D1
Ductal cell CEACAM5	RAB11A
Ductal cell CEACAM5	DYNLT3
Ductal cell CEACAM5	ABI1
Ductal cell CEACAM5	HEBP2
Ductal cell CEACAM5	ZMYND8
Ductal cell CEACAM5	BAIAP2L1
Ductal cell CEACAM5	MPZL3
Ductal cell CEACAM5	ACBD3
Ductal cell CEACAM5	ESYT2
Ductal cell CEACAM5	VILL
Ductal cell CEACAM5	ATP6V1D
Ductal cell CEACAM5	GCC2
Ductal cell CEACAM5	EPCAM
Ductal cell CEACAM5	NAMPT
Ductal cell CEACAM5	INPP4B
Ductal cell CEACAM5	ALDH3B1
Ductal cell CEACAM5	ADGRG1
Ductal cell CEACAM5	FAM114A1
Ductal cell CEACAM5	FXYD3
Ductal cell CEACAM5	TMEM248
Ductal cell CEACAM5	TMEM127
Ductal cell CEACAM5	KIAA1522
Ductal cell CEACAM5	KIAA0232
Ductal cell CEACAM5	MGLL
Ductal cell CEACAM5	PTTG1IP
Ductal cell CEACAM5	OPTN
Ductal cell CEACAM5	GABARAPL1
Ductal cell CEACAM5	SLC25A25
Ductal cell CEACAM5	TOR1AIP2
Ductal cell CEACAM5	YPEL5
Ductal cell CEACAM5	ITGAV
Ductal cell CEACAM5	TCIRG1
Ductal cell CEACAM5	EHD1
Ductal cell CEACAM5	TMED7
Ductal cell CEACAM5	MVP
Ductal cell CEACAM5	TSPAN13
Ductal cell CEACAM5	RANGAP1
Ductal cell CEACAM5	LPCAT4
Ductal cell CEACAM5	AMOTL2
Ductal cell CEACAM5	CRYAB
Ductal cell CEACAM5	CSNK1E
Ductal cell CEACAM5	KIF5B
Ductal cell CEACAM5	TNFRSF21
Ductal cell CEACAM5	RASA1
Ductal cell CEACAM5	INAVA
Ductal cell CEACAM5	STK17B
Ductal cell CEACAM5	PTK2
Ductal cell CEACAM5	DDAH2
Ductal cell CEACAM5	MAPK3
Ductal cell CEACAM5	CNN2
Ductal cell CEACAM5	MINDY2
Ductal cell CEACAM5	RNF103
Ductal cell CEACAM5	MYEOV
Ductal cell CEACAM5	CDKN1A
Ductal cell CEACAM5	ARPC5L
Ductal cell CEACAM5	OSBPL2
Ductal cell CEACAM5	EHF
Ductal cell CEACAM5	ARFGAP3
Ductal cell CEACAM5	MPRIP
Ductal cell CEACAM5	PHLDA3
Ductal cell CEACAM5	PDLIM4
Ductal cell CEACAM5	SMIM6
Ductal cell CEACAM5	ZNRF1
Ductal cell CEACAM5	SQSTM1
Ductal cell CEACAM5	ABHD2
Ductal cell CEACAM5	PNPLA2
Ductal cell CEACAM5	RHOC
Ductal cell CEACAM5	CSNK1A1
Ductal cell CEACAM5	MALAT1
Ductal cell CEACAM5	FNDC3B
Ductal cell CEACAM5	MIR4435-2HG
Ductal cell CEACAM5	GALNT1
Ductal cell CEACAM5	GRN
Ductal cell CEACAM5	SH3RF1
Ductal cell CEACAM5	VSIG2
Ductal cell CEACAM5	MBP
Ductal cell CEACAM5	MEF2A
Ductal cell CEACAM5	B4GALT5
Ductal cell CEACAM5	FAM214A
Ductal cell CEACAM5	DCBLD2
Ductal cell CEACAM5	LYPLA1
Ductal cell CEACAM5	WWC1
Ductal cell CEACAM5	SH3BGRL2
Ductal cell CEACAM5	MAP4K4
Ductal cell CEACAM5	AGRN
Ductal cell CEACAM5	BCL10
Ductal cell CEACAM5	SLC45A4
Ductal cell CEACAM5	RHOA
Ductal cell CEACAM5	SRD5A3
Ductal cell CEACAM5	FAM83H
Ductal cell CEACAM5	CXXC5
Ductal cell CEACAM5	NR1D2
Ductal cell CEACAM5	YWHAG
Ductal cell CEACAM5	ISG15
Ductal cell CEACAM5	ANXA1
Ductal cell CEACAM5	DDX60
Ductal cell CEACAM5	NDFIP1
Ductal cell CEACAM5	DUSP5
Ductal cell CEACAM5	SLC44A2
Ductal cell CEACAM5	CXCL5
Ductal cell CEACAM5	AGO2
Ductal cell CEACAM5	S100A2
Ductal cell CEACAM5	TIMP1
Ductal cell CEACAM5	C18orf32
Ductal cell CEACAM5	PLS1
Ductal cell CEACAM5	CHP1
Ductal cell CEACAM5	ARHGAP5
Ductal cell CEACAM5	TRIOBP
Ductal cell CEACAM5	PJA2
Ductal cell CEACAM5	CLIC3
Ductal cell CEACAM5	EIF4G1
Ductal cell CEACAM5	GDPD3
Ductal cell CEACAM5	EPHA2
Ductal cell CEACAM5	HPGD
Ductal cell CEACAM5	ACTR3
Ductal cell CEACAM5	PLEKHB2
Ductal cell CEACAM5	RHOU
Ductal cell CEACAM5	CALM2
Ductal cell CEACAM5	PIEZO1
Ductal cell CEACAM5	PODXL
Ductal cell CEACAM5	CD46
Ductal cell CEACAM5	GTF2I
Ductal cell CEACAM5	ATXN10
Ductal cell CEACAM5	SELENOW
Ductal cell CEACAM5	LAMA3
Ductal cell CEACAM5	SDR16C5
Ductal cell CEACAM5	SERINC1
Ductal cell CEACAM5	CFLAR
Ductal cell CEACAM5	F2RL1
Ductal cell CEACAM5	GALNT3
Ductal cell CEACAM5	TSTA3
Ductal cell CEACAM5	SMIM22
Ductal cell CEACAM5	MISP
Ductal cell CEACAM5	HCFC1R1
Ductal cell CEACAM5	PLAC8
Ductal cell CEACAM5	TES
Ductal cell CEACAM5	ABL2
Ductal cell CEACAM5	ACTR2
Ductal cell CEACAM5	PRSS23
Ductal cell CEACAM5	BNIP3L
Ductal cell CEACAM5	CD164
Ductal cell CEACAM5	HIGD1A
Ductal cell CEACAM5	CTSE
Ductal cell CEACAM5	S100A16
Ductal cell CEACAM5	PLAT
Ductal cell CEACAM5	LGALSL
Ductal cell CEACAM5	PDK4
Ductal cell CEACAM5	TMSB4X
Ductal cell CEACAM5	RHOF
Ductal cell CEACAM5	MIDN
Ductal cell CEACAM5	CTTN
Ductal cell CEACAM5	PITX1
Ductal cell CEACAM5	HSPA6
Ductal cell CEACAM5	ITGA6
Ductal cell CEACAM5	LRRFIP1
Ductal cell CEACAM5	IL1R2
Ductal cell CEACAM5	SLC6A20
Ductal cell CEACAM5	CD9
Ductal cell CEACAM5	ACTG1
Ductal cell CEACAM5	ANXA2
Ductal cell CEACAM5	ARPC2
Ductal cell CEACAM5	SFTA2
Ductal cell CEACAM5	VAMP8
Ductal cell CEACAM5	NAPRT
Ductal cell CEACAM5	CLDN18
Ductal cell CEACAM5	TNNT1
Ductal cell CEACAM5	FTH1
Ductal cell CEACAM5	CFL1
Ductal cell CEACAM5	HMGA1
Ductal cell CEACAM5	RAB3B
Ductal cell CEACAM5	SH3KBP1
Ductal cell CEACAM5	S100A6
Ductal cell CEACAM5	KLF4
Ductal cell CEACAM5	FAM210B
Ductal cell CEACAM5	LAD1
Ductal cell CEACAM5	CEMIP
Ductal cell CEACAM5	PRSS3
Ductal cell CEACAM5	C4orf3
Ductal cell CEACAM5	ERRFI1
Ductal cell CEACAM5	TENT5A
Ductal cell CEACAM5	UBE2B
Ductal cell CEACAM5	ATP5F1E
Ductal cell CEACAM5	BMP2
Ductal cell CEACAM5	SLC16A3
Ductal cell CEACAM5	FOSL1
Ductal cell CEACAM5	BIRC3
Ductal cell CEACAM5	TMEM45B
Ductal cell CEACAM5	CDKN2A
Ductal cell CEACAM5	EGLN3
Ductal cell CEACAM5	NEAT1
Ductal cell CEACAM5	ZFAND5
Ductal cell CEACAM5	SLC44A4
Ductal cell CEACAM5	SLC20A1
Ductal cell CEACAM5	B2M
Ductal cell CEACAM5	KRT17
Ductal cell CEACAM5	LDHA
Ductal cell CEACAM5	VDAC2
Ductal cell CEACAM5	S100A14
Ductal cell CEACAM5	TSC22D3
Ductal cell CEACAM5	TXNIP
Ductal cell CEACAM5	ST13
Ductal cell CEACAM5	TNFRSF11B
Ductal cell CEACAM5	AKAP12
Ductal cell CEACAM5	PRDX5
Ductal cell CEACAM5	MSMO1
Ductal cell CEACAM5	WFDC2
Ductal cell CEACAM5	TFF2
Ductal cell CEACAM5	VNN1
Ductal cell CEACAM5	MUC17
Ductal cell CEACAM5	S100A4
Ductal cell CEACAM5	NTHL1
Ductal cell CEACAM5	MT1G
Ductal cell CEACAM5	PHGR1
Ductal cell CEACAM5	CSTB
Ductal cell CEACAM5	MMP1
Ductal cell CEACAM5	MUC1
Ductal cell CEACAM5	PI3
Ductal cell CEACAM5	MACROD2

