cluster	gene
Ductal cell RPS3	RPS6
Ductal cell RPS3	NOP53
Ductal cell RPS3	BTF3
Ductal cell RPS3	RPS20
Ductal cell RPS3	SOD2
Ductal cell RPS3	CLDN1
Ductal cell RPS3	EIF3E
Ductal cell RPS3	CYR61
Ductal cell RPS3	KCNE3
Ductal cell RPS3	HIPK2
Ductal cell RPS3	RPL31
Ductal cell RPS3	DNAJB4
Ductal cell RPS3	LMNA
Ductal cell RPS3	CAMLG
Ductal cell RPS3	EIF1
Ductal cell RPS3	RPL29
Ductal cell RPS3	EBPL
Ductal cell RPS3	MMP23B
Ductal cell RPS3	LDLR
Ductal cell RPS3	COX7A2L
Ductal cell RPS3	RPS8
Ductal cell RPS3	CUTA
Ductal cell RPS3	TOMM20
Ductal cell RPS3	LMO4
Ductal cell RPS3	EIF4B
Ductal cell RPS3	DNAJA1
Ductal cell RPS3	PPA1
Ductal cell RPS3	MPC2
Ductal cell RPS3	PABPC1
Ductal cell RPS3	MT-CO3
Ductal cell RPS3	UQCRB
Ductal cell RPS3	AC005550.2
Ductal cell RPS3	ALDH1A1
Ductal cell RPS3	RPSA
Ductal cell RPS3	RPLP0
Ductal cell RPS3	RPS7
Ductal cell RPS3	RPL18
Ductal cell RPS3	DDX5
Ductal cell RPS3	TNFRSF12A
Ductal cell RPS3	PRSS2
Ductal cell RPS3	CLNS1A
Ductal cell RPS3	EIF3G
Ductal cell RPS3	WEE1
Ductal cell RPS3	IMPA2
Ductal cell RPS3	JUN
Ductal cell RPS3	HIGD2A
Ductal cell RPS3	IL18
Ductal cell RPS3	ALKBH7
Ductal cell RPS3	KLF5
Ductal cell RPS3	PRSS21
Ductal cell RPS3	TMEM98
Ductal cell RPS3	XIST
Ductal cell RPS3	C11orf1
Ductal cell RPS3	ANXA4
Ductal cell RPS3	GATA6
Ductal cell RPS3	BRD2
Ductal cell RPS3	HSPB1
Ductal cell RPS3	TSTD1
Ductal cell RPS3	RPL13
Ductal cell RPS3	KLF2
Ductal cell RPS3	HLA-DMA
Ductal cell RPS3	RPL4
Ductal cell RPS3	BTN3A2
Ductal cell RPS3	CELA3B
Ductal cell RPS3	HSP90AB1
Ductal cell RPS3	WDR83OS
Ductal cell RPS3	ETS2
Ductal cell RPS3	DNAJB1
Ductal cell RPS3	PHLDA2
Ductal cell RPS3	RPL8
Ductal cell RPS3	CEL
Ductal cell RPS3	PPP1R15A
Ductal cell RPS3	SEC11A
Ductal cell RPS3	LAPTM4A
